Category,Model,#Outputs1,#Outputs2,#CounterInputs,#Counter,ReachTime1,ReachTime2,ApproxTime,ExactTime,TotalTime,Timeout
AC,AC-1,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-2,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-3,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-4,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-5,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-6,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-7,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-8,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-9,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-10,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-11,-,-,-,-,-,-,-,-,TO,Yes
AC,AC-12,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-1,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-2,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-3,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-4,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-5,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-6,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-7,-,-,-,-,-,-,-,-,TO,Yes
BM,BM-8,-,-,-,-,-,-,-,-,TO,Yes
GC,GC-1,-,-,-,-,-,-,-,-,TO,Yes
GC,GC-2,-,-,-,-,-,-,-,-,TO,Yes
GC,GC-3,-,-,-,-,-,-,-,-,TO,Yes
GC,GC-4,-,-,-,-,-,-,-,-,TO,Yes
GC,GC-5,-,-,-,-,-,-,-,-,TO,Yes
